id,question,choice1,choice2,choice3,choice4,answer,point,title,explanation
1,"On my way to school each day, I generally ( ) many dogs and cats.",were seeing,am seeing,see,was seen,see,POINT001,基本３時制の定義,generallyは習慣を表す副詞。習慣的な動作は単純現在時制で表す。
2,Water ( ) at a temperature of 100 degrees centigrade.,boils,is boiling,was boiling,used to boil,boils,POINT001,基本３時制の定義,科学的事実や一般的真理は単純現在時制で表す。水が100度で沸騰するのは不変の事実。
3,My father sometimes ( ) me with my homework when I was a student.,helps,helped,has helped,is helping,helped,POINT001,基本３時制の定義,when I was a studentという過去の時点を示す副詞節があるため、過去時制を使う。
4,My father usually (　　) home from work at 7:00 p.m.,comes,come,is coming,has come,comes,POINT001,基本３時制の定義,習慣的動作は現在時制。usuallyがキーワード。
5,"The man (　　) his job in 2011, and he has been looking for a job since then.",loses,lost,has lost,had lost,lost,POINT001,基本３時制の定義,2011年という過去の時点を示すので過去時制。
6,The football game ( ) over by 10:30.,will be,is not,is,has not been,will be,POINT002,様々な未来表現,by 10:30という未来の時点までに完了することを表すため、will beを使う。
7,"Until next summer, the pool (　　) under construction.",will be,was,has been,had been,will be,POINT002,様々な未来表現,next summerまでという未来の期間を表す。
8,Look at those black clouds. It (　　) rain very soon.,do,is going to,shall not,wouldn't,is going to,POINT002,様々な未来表現,確実な予測を表すbe going to。
9,I was (　　) go out when my boss came in.,aimed to,free of,thinking of,about to,about to,POINT002,様々な未来表現,「まさに〜しようとしていた」
10,"While you ( ) to me, I can do my sewing.",were reading,are reading,have read,reading,are reading,POINT003,進行形の定義,同時進行の動作を表すwhile節では進行形を使う。主節のcanが現在時制なので現在進行形。
11,"""Have you seen Yuko recently?"" ""No, but ( ) dinner with her on Sunday.""",I'm having,I've been having,I'd have,I've had,I'm having,POINT003,進行形の定義,on Sundayという未来の確定的な予定を表す現在進行形。be + -ing形で近い未来の予定を表す。
12,She ( ) reading a book when I saw her a while ago.,has been,is,may be,was,was,POINT003,進行形の定義,when I saw herという過去の時点での継続的動作を表す過去進行形。
13,The president ( ) on TV tomorrow evening.,will have appeared,has been appearing,could have appeared,will be appearing,will be appearing,POINT003,進行形の定義,tomorrow eveningという未来の時点での進行中の動作を表す。
14,Please be quiet. I (　　) on a difficult question now.,work,worked,am working,have worked,am working,POINT003,進行形の定義,nowがあるので現在進行形。
15,Sandy (　　) in the library when I saw her two hours ago.,is studying,was studying,has been studying,has studied,was studying,POINT003,進行形の定義,過去の時点での進行中の動作。
16,"When Ken comes home from school this afternoon, his mother (　　) cooking roast chicken.",had been,would be,will be,has been,will be,POINT003,進行形の定義,未来の時点での進行中の動作を表す未来進行形。
